id,subject,question,answer,source,answer_date
SOC-001,society_and_community,volunteering in australia statistics,,,
SOC-002,society_and_community,what percentage of australians volunteer,,,
SOC-003,society_and_community,charitable donations australia average,,,
SOC-004,society_and_community,are charitable donations declining in australia,,,
SOC-005,society_and_community,loneliness in australia statistics,,,
SOC-006,society_and_community,loneliness in seniors australia,,,
SOC-007,society_and_community,loneliness in australia for migrants,,,
SOC-008,society_and_community,life satisfaction australia,,,
SOC-009,society_and_community,life satisfaction by state australia,,,
SOC-010,society_and_community,do australians trust the government,,,
SOC-011,society_and_community,trust in media australia statistics,,,
SOC-012,society_and_community,how many australians feel a sense of belonging to their community,,,
SOC-013,society_and_community,discrimination statistics australia,,,
SOC-014,society_and_community,racism experienced by first nations australians statistics,,,
SOC-015,society_and_community,food bank use australia statistics,,,
SOC-016,society_and_community,how religious is australia,,,
SOC-017,society_and_community,church attendance australia statistics,,,
SOC-018,society_and_community,social isolation young adults australia,,,
SOC-019,society_and_community,how much time do australians spend with friends,,,
SOC-020,society_and_community,are australians happier than americans,,,
SOC-021,society_and_community,do australians feel safe walking alone at night,,,
SOC-022,society_and_community,how many close friends does the average australian have,,,
SOC-023,society_and_community,unpaid caregiving statistics australia,,,
SOC-024,society_and_community,who does more housework men or women australia,,,
SOC-025,society_and_community,how well do refugees integrate in australia,,,
SOC-026,society_and_community,lgbtiq wellbeing australia statistics,,,
SOC-027,society_and_community,is life satisfaction declining among young australians,,,
SOC-028,society_and_community,how many australians live alone,,,
SOC-029,society_and_community,do people trust their neighbours in australia,,,
SOC-030,society_and_community,civic engagement youth australia,,,
SOC-031,society_and_community,is loneliness worse in big cities australia,,,
SOC-032,society_and_community,sense of meaning and purpose australia statistics,,,
SOC-033,society_and_community,migrants sense of belonging australia,,,
IMM-001,immigration_and_ethnocultural_diversity,how many migrants in australia,,,
IMM-002,immigration_and_ethnocultural_diversity,how many migrants come to australia per year,,,
IMM-003,immigration_and_ethnocultural_diversity,migration to australia statistics by country,,,
IMM-004,immigration_and_ethnocultural_diversity,how many refugees in australia,,,
IMM-005,immigration_and_ethnocultural_diversity,how many international students in australia,,,
IMM-006,immigration_and_ethnocultural_diversity,australia immigration rate over time,,,
IMM-007,immigration_and_ethnocultural_diversity,cultural diversity in australia percentage,,,
IMM-008,immigration_and_ethnocultural_diversity,largest ancestry in australia,,,
IMM-009,immigration_and_ethnocultural_diversity,how many muslims in australia,,,
IMM-010,immigration_and_ethnocultural_diversity,ethnic groups in australia percentages,,,
IMM-011,immigration_and_ethnocultural_diversity,how many people speak mandarin in australia,,,
IMM-012,immigration_and_ethnocultural_diversity,how many migrants in australia are on welfare,,,
IMM-013,immigration_and_ethnocultural_diversity,what percentage of australia's population is born overseas,,,
IMM-014,immigration_and_ethnocultural_diversity,which cities do most migrants settle in australia,,,
IMM-015,immigration_and_ethnocultural_diversity,second generation migrants in australia statistics,,,
IMM-016,immigration_and_ethnocultural_diversity,how many temporary visa holders in australia,,,
IMM-017,immigration_and_ethnocultural_diversity,how many asylum seekers in australia,,,
IMM-018,immigration_and_ethnocultural_diversity,how many undocumented migrants in australia,,,
IMM-019,immigration_and_ethnocultural_diversity,do migrants commit more crime in australia,,,
IMM-020,immigration_and_ethnocultural_diversity,how much do migrants earn compared to australian born workers,,,
IMM-021,immigration_and_ethnocultural_diversity,what percentage of migrants become australian citizens,,,
IMM-022,immigration_and_ethnocultural_diversity,how many interracial couples in australia,,,
IMM-023,immigration_and_ethnocultural_diversity,discrimination against migrants in australia statistics,,,
IMM-024,immigration_and_ethnocultural_diversity,how many migrants leave australia after arriving,,,
IMM-025,immigration_and_ethnocultural_diversity,how do refugees do economically in australia,,,
POP-001,population_and_demography,population of australia,,,
POP-002,population_and_demography,population of australia by state,,,
POP-003,population_and_demography,population of australia by ancestry,,,
POP-004,population_and_demography,population of sydney,,,
POP-005,population_and_demography,population of sydney vs melbourne,,,
POP-006,population_and_demography,australia population growth rate,,,
POP-007,population_and_demography,australia population growth projections,,,
POP-008,population_and_demography,australia birth rate,,,
POP-009,population_and_demography,australia birth rate by state,,,
POP-010,population_and_demography,australia death rate by year,,,
POP-011,population_and_demography,life expectancy australia,,,
POP-012,population_and_demography,life expectancy australia by state,,,
POP-013,population_and_demography,life expectancy australia vs us,,,
POP-014,population_and_demography,fertility rate australia,,,
POP-015,population_and_demography,average age in australia,,,
POP-016,population_and_demography,average age in australia to have a baby,,,
POP-017,population_and_demography,how many seniors in australia,,,
POP-018,population_and_demography,how many seniors in australia live alone,,,
POP-019,population_and_demography,how many people live in melbourne,,,
POP-020,population_and_demography,population of australia vs usa,,,
POP-021,population_and_demography,marriage rate australia,,,
POP-022,population_and_demography,divorce rate australia,,,
POP-023,population_and_demography,which state are people moving to in australia,,,
POP-024,population_and_demography,how many people immigrate to australia vs leave,,,
POP-025,population_and_demography,what percentage of australians live in cities,,,
