id,country,nso,subject,question,answer,source,answer_date
SOC-002,Canada,Statistics Canada,society_and_community,what percentage of canadians volunteer,,,
SOC-002,Australia,ABS,society_and_community,what percentage of australians volunteer,,,
SOC-003,Canada,Statistics Canada,society_and_community,charitable donations canada average,,,
SOC-003,Australia,ABS,society_and_community,charitable donations australia average,,,
SOC-004,Canada,Statistics Canada,society_and_community,are charitable donations declining in canada,,,
SOC-004,Australia,ABS,society_and_community,are charitable donations declining in australia,,,
SOC-005,Canada,Statistics Canada,society_and_community,loneliness in canada statistics,,,
SOC-005,Australia,ABS,society_and_community,loneliness in australia statistics,,,
SOC-006,Canada,Statistics Canada,society_and_community,loneliness in seniors canada,,,
SOC-006,Australia,ABS,society_and_community,loneliness in seniors australia,,,
SOC-007,Canada,Statistics Canada,society_and_community,loneliness in canada for immigrants,,,
SOC-007,Australia,ABS,society_and_community,loneliness in australia for migrants,,,
SOC-008,Canada,Statistics Canada,society_and_community,life satisfaction canada,,,
SOC-008,Australia,ABS,society_and_community,life satisfaction australia,,,
SOC-009,Canada,Statistics Canada,society_and_community,life satisfaction by province canada,,,
SOC-009,Australia,ABS,society_and_community,life satisfaction by state australia,,,
SOC-010,Canada,Statistics Canada,society_and_community,do canadians trust the government,,,
SOC-010,Australia,ABS,society_and_community,do australians trust the government,,,
SOC-011,Canada,Statistics Canada,society_and_community,trust in media canada statistics,,,
SOC-011,Australia,ABS,society_and_community,trust in media australia statistics,,,
SOC-012,Canada,Statistics Canada,society_and_community,how many canadians feel a sense of belonging to their community,,,
SOC-012,Australia,ABS,society_and_community,how many australians feel a sense of belonging to their community,,,
SOC-013,Canada,Statistics Canada,society_and_community,discrimination statistics canada,,,
SOC-013,Australia,ABS,society_and_community,discrimination statistics australia,,,
SOC-014,Canada,Statistics Canada,society_and_community,racism experienced by black canadians statistics,,,
SOC-014,Australia,ABS,society_and_community,racism experienced by first nations australians statistics,,,
SOC-015,Canada,Statistics Canada,society_and_community,food bank use canada statistics,,,
SOC-015,Australia,ABS,society_and_community,food bank use australia statistics,,,
SOC-016,Canada,Statistics Canada,society_and_community,how religious is canada,,,
SOC-016,Australia,ABS,society_and_community,how religious is australia,,,
SOC-017,Canada,Statistics Canada,society_and_community,church attendance canada statistics,,,
SOC-017,Australia,ABS,society_and_community,church attendance australia statistics,,,
SOC-018,Canada,Statistics Canada,society_and_community,social isolation young adults canada,,,
SOC-018,Australia,ABS,society_and_community,social isolation young adults australia,,,
SOC-019,Canada,Statistics Canada,society_and_community,how much time do canadians spend with friends,,,
SOC-019,Australia,ABS,society_and_community,how much time do australians spend with friends,,,
SOC-020,Canada,Statistics Canada,society_and_community,are canadians happier than americans,,,
SOC-020,Australia,ABS,society_and_community,are australians happier than americans,,,
SOC-021,Canada,Statistics Canada,society_and_community,do canadians feel safe walking alone at night,,,
SOC-021,Australia,ABS,society_and_community,do australians feel safe walking alone at night,,,
SOC-022,Canada,Statistics Canada,society_and_community,how many close friends does the average canadian have,,,
SOC-022,Australia,ABS,society_and_community,how many close friends does the average australian have,,,
SOC-023,Canada,Statistics Canada,society_and_community,unpaid caregiving statistics canada,,,
SOC-023,Australia,ABS,society_and_community,unpaid caregiving statistics australia,,,
SOC-024,Canada,Statistics Canada,society_and_community,who does more housework men or women canada,,,
SOC-024,Australia,ABS,society_and_community,who does more housework men or women australia,,,
SOC-025,Canada,Statistics Canada,society_and_community,how well do refugees integrate in canada,,,
SOC-025,Australia,ABS,society_and_community,how well do refugees integrate in australia,,,
SOC-026,Canada,Statistics Canada,society_and_community,lgbtq wellbeing canada statistics,,,
SOC-026,Australia,ABS,society_and_community,lgbtiq wellbeing australia statistics,,,
SOC-027,Canada,Statistics Canada,society_and_community,is life satisfaction declining among young canadians,,,
SOC-027,Australia,ABS,society_and_community,is life satisfaction declining among young australians,,,
SOC-028,Canada,Statistics Canada,society_and_community,how many canadians live alone,,,
SOC-028,Australia,ABS,society_and_community,how many australians live alone,,,
SOC-029,Canada,Statistics Canada,society_and_community,do people trust their neighbours in canada,,,
SOC-029,Australia,ABS,society_and_community,do people trust their neighbours in australia,,,
SOC-030,Canada,Statistics Canada,society_and_community,civic engagement youth canada,,,
SOC-030,Australia,ABS,society_and_community,civic engagement youth australia,,,
SOC-031,Canada,Statistics Canada,society_and_community,is loneliness worse in big cities canada,,,
SOC-031,Australia,ABS,society_and_community,is loneliness worse in big cities australia,,,
SOC-032,Canada,Statistics Canada,society_and_community,sense of meaning and purpose canada statistics,,,
SOC-032,Australia,ABS,society_and_community,sense of meaning and purpose australia statistics,,,
SOC-033,Canada,Statistics Canada,society_and_community,immigrants sense of belonging canada,,,
SOC-033,Australia,ABS,society_and_community,migrants sense of belonging australia,,,
IMM-001,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many immigrants in canada,,,
IMM-001,Australia,ABS,immigration_and_ethnocultural_diversity,how many migrants in australia,,,
IMM-002,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many immigrants in canada per year,,,
IMM-002,Australia,ABS,immigration_and_ethnocultural_diversity,how many migrants come to australia per year,,,
IMM-003,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,immigration to canada statistics by countries,,,
IMM-003,Australia,ABS,immigration_and_ethnocultural_diversity,migration to australia statistics by country,,,
IMM-004,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many refugees in canada,,,
IMM-004,Australia,ABS,immigration_and_ethnocultural_diversity,how many refugees in australia,,,
IMM-005,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many international students in canada,,,
IMM-005,Australia,ABS,immigration_and_ethnocultural_diversity,how many international students in australia,,,
IMM-006,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,canada immigration rate over time,,,
IMM-006,Australia,ABS,immigration_and_ethnocultural_diversity,australia immigration rate over time,,,
IMM-007,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,visible minorities in canada percentage,,,
IMM-007,Australia,ABS,immigration_and_ethnocultural_diversity,cultural diversity in australia percentage,,,
IMM-008,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,largest visible minority in canada,,,
IMM-008,Australia,ABS,immigration_and_ethnocultural_diversity,largest ancestry in australia,,,
IMM-009,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many muslims in canada,,,
IMM-009,Australia,ABS,immigration_and_ethnocultural_diversity,how many muslims in australia,,,
IMM-010,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,ethnic groups in canada percentages,,,
IMM-010,Australia,ABS,immigration_and_ethnocultural_diversity,ethnic groups in australia percentages,,,
IMM-011,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many people speak french in canada outside of quebec,,,
IMM-011,Australia,ABS,immigration_and_ethnocultural_diversity,how many people speak mandarin in australia,,,
IMM-012,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many immigrants in canada are on welfare,,,
IMM-012,Australia,ABS,immigration_and_ethnocultural_diversity,how many migrants in australia are on welfare,,,
IMM-013,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,what percentage of canada's population is foreign born,,,
IMM-013,Australia,ABS,immigration_and_ethnocultural_diversity,what percentage of australia's population is born overseas,,,
IMM-014,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,which cities do most immigrants settle in canada,,,
IMM-014,Australia,ABS,immigration_and_ethnocultural_diversity,which cities do most migrants settle in australia,,,
IMM-015,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,second generation immigrants in canada statistics,,,
IMM-015,Australia,ABS,immigration_and_ethnocultural_diversity,second generation migrants in australia statistics,,,
IMM-016,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many temporary foreign workers in canada,,,
IMM-016,Australia,ABS,immigration_and_ethnocultural_diversity,how many temporary visa holders in australia,,,
IMM-017,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many asylum claimants in canada,,,
IMM-017,Australia,ABS,immigration_and_ethnocultural_diversity,how many asylum seekers in australia,,,
IMM-018,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many undocumented immigrants in canada,,,
IMM-018,Australia,ABS,immigration_and_ethnocultural_diversity,how many undocumented migrants in australia,,,
IMM-019,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,do immigrants commit more crime in canada,,,
IMM-019,Australia,ABS,immigration_and_ethnocultural_diversity,do migrants commit more crime in australia,,,
IMM-020,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how much do immigrants earn compared to canadian born workers,,,
IMM-020,Australia,ABS,immigration_and_ethnocultural_diversity,how much do migrants earn compared to australian born workers,,,
IMM-021,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,what percentage of immigrants become canadian citizens,,,
IMM-021,Australia,ABS,immigration_and_ethnocultural_diversity,what percentage of migrants become australian citizens,,,
IMM-022,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many interracial couples in canada,,,
IMM-022,Australia,ABS,immigration_and_ethnocultural_diversity,how many interracial couples in australia,,,
IMM-023,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,discrimination against immigrants in canada statistics,,,
IMM-023,Australia,ABS,immigration_and_ethnocultural_diversity,discrimination against migrants in australia statistics,,,
IMM-024,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how many immigrants leave canada after arriving,,,
IMM-024,Australia,ABS,immigration_and_ethnocultural_diversity,how many migrants leave australia after arriving,,,
IMM-025,Canada,Statistics Canada,immigration_and_ethnocultural_diversity,how do refugees do economically in canada,,,
IMM-025,Australia,ABS,immigration_and_ethnocultural_diversity,how do refugees do economically in australia,,,
POP-001,Canada,Statistics Canada,population_and_demography,population of canada,,,
POP-001,Australia,ABS,population_and_demography,population of australia,,,
POP-002,Canada,Statistics Canada,population_and_demography,population of canada by province,,,
POP-002,Australia,ABS,population_and_demography,population of australia by state,,,
POP-003,Canada,Statistics Canada,population_and_demography,population of canada by race,,,
POP-003,Australia,ABS,population_and_demography,population of australia by ancestry,,,
POP-004,Canada,Statistics Canada,population_and_demography,population of toronto,,,
POP-004,Australia,ABS,population_and_demography,population of sydney,,,
POP-005,Canada,Statistics Canada,population_and_demography,population of toronto vs montreal,,,
POP-005,Australia,ABS,population_and_demography,population of sydney vs melbourne,,,
POP-006,Canada,Statistics Canada,population_and_demography,canada population growth rate,,,
POP-006,Australia,ABS,population_and_demography,australia population growth rate,,,
POP-007,Canada,Statistics Canada,population_and_demography,canada population growth projections,,,
POP-007,Australia,ABS,population_and_demography,australia population growth projections,,,
POP-008,Canada,Statistics Canada,population_and_demography,canada birth rate,,,
POP-008,Australia,ABS,population_and_demography,australia birth rate,,,
POP-009,Canada,Statistics Canada,population_and_demography,canada birth rate by province,,,
POP-009,Australia,ABS,population_and_demography,australia birth rate by state,,,
POP-010,Canada,Statistics Canada,population_and_demography,canada death rate by year,,,
POP-010,Australia,ABS,population_and_demography,australia death rate by year,,,
POP-011,Canada,Statistics Canada,population_and_demography,life expectancy canada,,,
POP-011,Australia,ABS,population_and_demography,life expectancy australia,,,
POP-012,Canada,Statistics Canada,population_and_demography,life expectancy canada by province,,,
POP-012,Australia,ABS,population_and_demography,life expectancy australia by state,,,
POP-013,Canada,Statistics Canada,population_and_demography,life expectancy canada vs us,,,
POP-013,Australia,ABS,population_and_demography,life expectancy australia vs us,,,
POP-014,Canada,Statistics Canada,population_and_demography,fertility rate canada,,,
POP-014,Australia,ABS,population_and_demography,fertility rate australia,,,
POP-015,Canada,Statistics Canada,population_and_demography,average age in canada,,,
POP-015,Australia,ABS,population_and_demography,average age in australia,,,
POP-016,Canada,Statistics Canada,population_and_demography,average age in canada to have a baby,,,
POP-016,Australia,ABS,population_and_demography,average age in australia to have a baby,,,
POP-017,Canada,Statistics Canada,population_and_demography,how many seniors in canada,,,
POP-017,Australia,ABS,population_and_demography,how many seniors in australia,,,
POP-018,Canada,Statistics Canada,population_and_demography,how many seniors in canada live alone,,,
POP-018,Australia,ABS,population_and_demography,how many seniors in australia live alone,,,
POP-019,Canada,Statistics Canada,population_and_demography,how many people live in montreal,,,
POP-019,Australia,ABS,population_and_demography,how many people live in melbourne,,,
POP-020,Canada,Statistics Canada,population_and_demography,population of canada vs usa,,,
POP-020,Australia,ABS,population_and_demography,population of australia vs usa,,,
POP-021,Canada,Statistics Canada,population_and_demography,marriage rate canada,,,
POP-021,Australia,ABS,population_and_demography,marriage rate australia,,,
POP-022,Canada,Statistics Canada,population_and_demography,divorce rate canada,,,
POP-022,Australia,ABS,population_and_demography,divorce rate australia,,,
POP-023,Canada,Statistics Canada,population_and_demography,which province are people moving to in canada,,,
POP-023,Australia,ABS,population_and_demography,which state are people moving to in australia,,,
POP-024,Canada,Statistics Canada,population_and_demography,how many people immigrate to canada vs leave,,,
POP-024,Australia,ABS,population_and_demography,how many people immigrate to australia vs leave,,,
POP-025,Canada,Statistics Canada,population_and_demography,what percentage of canadians live in cities,,,
POP-025,Australia,ABS,population_and_demography,what percentage of australians live in cities,,,
